0,8 2 0 0,0,0
1,8 2 0 0,0,0
2,8 2 0 0,0,0
3,8 2 0 0,0,0
4,8 2 0 0,0,0
5,8 2 0 0,0,0

6,6 49 0 0,180,0
6,7 2 0 0,90,0
6,8 34 0 0,90,0
6,9 2 0 0,90,0
6,10 49 0 0,270,0

7,6 2 0 0,0,0
7,10 2 0 0,0,0

8,0 2 0 0,90,0
8,1 2 0 0,90,0
8,2 2 0 0,90,0
8,3 2 0 0,90,0
8,4 2 0 0,90,0
8,5 2 0 0,90,0
8,6 34 0 0,0,0
8,10 34 0 0,180,0
8,11 2 0 0,90,0
8,12 2 0 0,90,0
8,13 2 0 0,90,0
8,14 2 0 0,90,0
8,15 2 0 0,90,0
8,16 2 0 0,90,0

9,6 2 0 0,0,0
9,10 2 0 0,0,0

10,6 49 0 0,90,0
10,7 2 0 0,90,0
10,8 34 0 0,270,0
10,9 2 0 0,90,0
10,10 49 0 0,0,0

11,8 2 0 0,0,0
12,8 2 0 0,0,0
13,8 2 0 0,0,0
14,8 2 0 0,0,0
15,8 2 0 0,0,0
16,8 2 0 0,0,0
