//1st story
0,0 18 0 0,0,0
0,1 39 0 0,180,0
0,2 18 0 0,90,0

1,0 18 0 0,270,0
1,1 43 0 0,270,0
1,1 22 0 0,270,0
1,2 39 0 0,270,0

2,0 49 8 0,90,0
2,1 18 0 0,270,0
2,2 18 0 0,180,0

//2nd story
0,0 18 16 0,0,0
0,1 39 16 0,180,0
0,2 18 16 0,90,0

1,0 18 16 0,270,0
1,1 43 16 0,270,0
1,1 22 16 0,270,0
1,2 39 16 0,270,0

2,0 49 24 0,90,0
2,1 18 16 0,270,0
2,2 18 16 0,180,0

//3rd story
0,0 18 32 0,0,0
0,1 39 32 0,180,0
0,2 18 32 0,90,0

1,0 18 32 0,270,0
1,1 43 32 0,270,0
1,1 22 32 0,270,0
1,2 39 32 0,270,0

2,0 49 40 0,90,0
2,1 18 32 0,270,0
2,2 18 32 0,180,0

//4th story
0,0 18 48 0,0,0
0,1 39 48 0,180,0
0,2 18 48 0,90,0

1,0 18 48 0,270,0
1,1 43 48 0,270,0
1,1 22 48 0,270,0
1,2 39 48 0,270,0

2,0 49 56 0,90,0
2,1 18 48 0,270,0
2,2 18 48 0,180,0
